Ewe/V	<I>/mA	
-7.5131667E-001	-5.572367226704955E-004
-7.5175303E-001	-6.147305091742175E-004
-7.5495362E-001	-5.957250851216533E-004
-7.5818008E-001	-5.797887542696252E-004
-7.6124853E-001	-6.131059106932180E-004
-7.6424265E-001	-6.551284604938718E-004
-7.6732051E-001	-6.944578808786780E-004
-7.7055317E-001	-6.890017553311220E-004
-7.7334905E-001	-6.827272781281708E-004
-7.7662081E-001	-7.162017715332848E-004
-7.7952123E-001	-7.679788899557548E-004
-7.8249300E-001	-8.200618927308549E-004
-7.8598368E-001	-8.557311694192202E-004
-7.8888804E-001	-8.638243593525538E-004
-7.9196799E-001	-8.826339314439852E-004
-7.9492730E-001	-9.365269534344287E-004
-7.9809588E-001	-1.014662933308888E-003
-8.0112404E-001	-1.088502315237092E-003
-8.0449641E-001	-1.122261887230384E-003
-8.0742466E-001	-1.142834123645398E-003
-8.1057113E-001	-1.194623449537503E-003
-8.1331861E-001	-1.296630046064302E-003
-8.1646472E-001	-1.415095657908491E-003
-8.1973755E-001	-1.489207688678100E-003
-8.2267362E-001	-1.529682496381544E-003
-8.2567877E-001	-1.596602043962643E-003
-8.2906753E-001	-1.712953462093277E-003
-8.3202690E-001	-1.872067032650186E-003
-8.3505362E-001	-1.991237444989170E-003
-8.3794981E-001	-2.082742725878448E-003
-8.4133703E-001	-2.145781590294448E-003
-8.4427238E-001	-2.279842759337822E-003
-8.4762847E-001	-2.459757774723972E-003
-8.6524659E-001	-3.290930001475338E-003
-8.8345432E-001	-4.406468536282245E-003
-8.8640147E-001	-4.560499069547017E-003
-8.8984954E-001	-4.671813966362095E-003
-8.9258862E-001	-4.814139508360835E-003
-8.9563459E-001	-5.003172767269096E-003
-8.9877194E-001	-5.213433814008420E-003
-9.0184230E-001	-5.372298016612029E-003
-9.0504497E-001	-5.488640085786749E-003
-9.0787762E-001	-5.590289071538537E-003
-9.1127676E-001	-5.724555040545115E-003
-9.1417456E-001	-5.892679825527519E-003
-9.1716725E-001	-6.036721549012948E-003
-9.2037123E-001	-6.125854566497391E-003
-9.2340702E-001	-6.175727415666160E-003
-9.2652208E-001	-6.234975798738898E-003
-9.2946470E-001	-6.332249695138417E-003
-9.3282133E-001	-6.439042050195520E-003
-9.3577391E-001	-6.493133184124297E-003
-9.3880826E-001	-6.494378730232175E-003
-9.4207269E-001	-6.489348599923412E-003
-9.4518834E-001	-6.515776668558307E-003
-9.4788533E-001	-6.561393600544974E-003
-9.5107967E-001	-6.581590570086913E-003
-9.5426345E-001	-6.540959559060838E-003
-9.5732605E-001	-6.480269380587683E-003
-9.6044439E-001	-6.440913101219609E-003
-9.6358651E-001	-6.438119052290858E-003
-9.6646398E-001	-6.420661723171048E-003
-9.6950859E-001	-6.366595873844583E-003
-9.7271585E-001	-6.276985616680633E-003
-9.7574967E-001	-6.194258136604592E-003
-9.7876149E-001	-6.157585913245264E-003
-9.8199952E-001	-6.135142221475209E-003
-9.8501617E-001	-6.081981473861145E-003
-9.8831922E-001	-5.988605155555243E-003
-9.9101740E-001	-5.886276538733803E-003
-9.9400342E-001	-5.825032980932780E-003
-9.9742329E-001	-5.801423070287068E-003
-1.0003507E+000	-5.762231595391694E-003
-1.0035434E+000	-5.682060031456501E-003
-1.0065522E+000	-5.572531856549703E-003
-1.0096241E+000	-5.507384127538123E-003
-1.0128102E+000	-5.477494334692384E-003
